BNX3,bnx3,How do I do a hard reset on my BNX3?,"You can reset the BNX3 by pressing and holding in the Drums button, (the one by the data wheel, not the one on the recorder) as you turn on the power. When the display shows ""RESET"", let go of the drums button and press the MODE button.  When the display shows ""TOE DOWN"" move the expression pedal all the way forward and press the #3 footswitch. The display should then show ""TOE UP"". Move the pedal all the way back towards you and press the #4 footswitch. The display should then show ""VSWITCH"". Move the pedal forward and put some pressure on it until you see the numerical display change numbers, then back the pedal off again. It is now reset."
GNX4,gnx4, How do I connect my GNX through the effects loop of my amp if I only want to use effects and not amp modeling?,"To connect via effects loop, connect the send of the loop to he guitar input of the GNX, and connect the left 1/4 inch output of the GNX to the return of the amp. <br><br>Next, select a preset on the GNX, and in that preset put the amp model and the cabinet model on DIRECT. Press the Utility Button, go to the target system, and put that on DIRECT or FX4x12."
GNX4,gnx4, I can't get mp3 files from my compact flash card to play through the GNX4 out to my amp.,Import the MP3 files into Protracks and Reencode them by selecting<br>file>export>audio and name them with a .mp3 extension
GNX4,gnx4, I can't seem to load my USB drivers. ,"You will need to uninstall the USB drivers in the device manager, go to control panel, system, device manager, sound video and game controllers, and click the plus button, verify the GNX4 is connected and turned on. Uninstall all 5 digitech drivers or USB audio devices. Verify you uninstall the correct drivers. Call 801-566-8800 if you are not sure, and we will help you!  After you uninstall the drivers turn off the GNX4 unplug the USB cable from the GNX4, Perform a factory reset on the GNX4.<br>This procedure is in the manual. Reconnect the GNX4 this is a very important step, Watch your computer screen on the bottom right hand corner, it will say found new hardware then you will get a lot of pot up window, wait until the last one says Your new hardware is installed and ready to use. Now put the X-Edit/Librarian disk into your computer, Run the USB midi drivers, follow the GNX4 software installation guide. <br><br>"
GNX4,gnx4, How do I put material that is in ProTracks back on my CF card?," You will need to go to file>export>audio for EACH track of the song,<br>>(hightlight the track, then go to export) and export it into a specific<br>>song folder in the GNX4 Songs folder. Export it as a RIFF wav file.<br>"
GNX4,gnx4, What are the primary differences between the GNX4 and the GNX3?,"The GNX4 uses compact flash cards for memory, giving you up to 2gig capacity which is around 6 hours recording time. The GNX3 uses smart media cards, giving less time. Also, the drums in the GNX4 are much better, and the GNX4 will play mp3s, which the GNX3 will not do.<br>The GNX4 provides phantom power for using condenser mics, and the GNX3 does not. <br>"
GNX4,gnx4,I can't get any audio input using MAC OSX and Bias Deck.,"USB Recording issues in OS 10.4 (Tiger)<br>Affected OS: OS 10.4 (Tiger) <br>Affected Users: Peak 4.13 (LE, DV, and Pro), and Deck 3.5.3 (LE, SE, and Pro) users who are recording through USB Audio devices. <br>Known issue: Peak 4.13 and Deck 3.5.3 do not receive input signal when attempting to record through a USB audio device. <br>Current Workaround: There is a workaround to this issue using the new Aggregate Device tool in OS 10.4. Follow these steps: <br>1.",Without your BIAS software running go to Applications>Utilities and launch the Audio MIDI Setup application. <br>2.,"Go to the Audio menu and select ""Open Aggregate Device Editor"" <br>3.","Click on the ""+"" button to the left of where it says ""Add and remove aggregate devices on your computer"" <br>4.","In the bottom half of the window click the ""Use"" checkbox for both of the items listed as your USB device (they should show up as two separate items, one for inputs and one for outputs) <br>5.","Click the ""Done"" button and quit Audio MIDI Setup <br>6.",Launch your BIAS software application and navigate to the window that allows you to choose your input and output device. In Peak it would be under Audio>Hardware Settings. In Deck it is under Options>Hardware Options <br>7.,"Choose ""Aggregate Device"" as your input and output device <br>You should now be able to record successfully through your USB Audio device. <br>For more information on this update, and on Tiger compatibility information for all BIAS products, please go here: <br>BIAS OS 10.4 Tiger compatibility statementFAQ Home <br>"
GSP1101,gsp1101,Linking the Control 2 Expression pedal to control Volume,1,"From the GSP1101 main menu, press the Edit/Select knob twice <br>2.","In the Select Effect to Edit menu, turn the Edit/Select knob to highlight Expression Links and press Edit/Select <br>3.",In the Edit Expression Links menu highlight 1:1 (FC PDL1) and press Edit/Select <br>4.,In the Linking menu turn the Edit/Select knob to highlight LINKED TO and press Edit/Select<br>5.,"In the LINKING CTRL 1 (FC PDL1) TO menu, use the Edit/Select knob to select PRE FX Volume<br>6.",Press the Back button 5 times to return to the main menu<br>7.,Press Store 3 timer to save the changes to your preset. <br>
GSP1101,gsp1101,Assigning the Control 2 Expression pedal to control the Volume; GSP1101 firmware v2.0<br>,1,"From the GSP1101 main menu, press the Edit/Select knob<br>2.",Turn the Edit/Select knob to highlight MIDI MENU and press Edit/Select<br>3.,Turn the Edit/Select knob to highlight CC/Controller MAP and press Edit/Select<br>4.,"In the MIDI CC/Controller MAP menu, highlight Controller 1 EXP PDL and press Edit/Select<br>5.","Turn the Edit/Select knob to select, Controller 1 = FC PDL 1<br>6.",Press the back button 4 times to return to the GSP1101 main menu<br><br>If no other changes have been made to the preset the Control 2 Volume pedal should be linked to PRE FX Volume <br>,
JamMan Looper,jamman, Is there a minimum length a loop has to be?," Yes. The JamMan Looper requires a loop be at least 3.5 seconds long. If a loop is shorter than 3.5 seconds, there will be gaps in playback.",,,,,,,
JamMan Looper,jamman, What must be done when importing loops from a computer to the JamMan Looper?,"When downloading .wav files into the Jamman, there is short protocol to follow:<br>1) .wav files need to be 16 bit, 44.1K sampling rate<br>2).wav files must be MONO, not stereo files.<br>3) Create a folder in the JAMMAN drive that shows up when you plug in the USB connection, by right clicking, select NEW>FOLDER, and name the folder LOOP01, LOOP02, etc.<br>4)Before dragging the .wav file into the created folder, rename the wav file LOOP.wav",,,,,,,
JamMan Looper,jamman, Where do I find the serial # and model?," The date code on the box is the serial number, such as DEC05. The model designation is JML.",,,,,,,
JamMan Looper,jamman, How do I import loops from another source?," The audio format needs to be uncompressed .wav 44.1 kHz 16 bit mono; the file needs be named LOOP01, LOOP02, LOOP03, ECT. The wav needs to be named LOOP. Record a loop on the JamMan, connect the JamMan to the computer, and double click on the JamMan folder, then double click on the LOOP01 folder  or the folder of the loop # you created. At this point you will see the loop WAV file and the XML file right click on the loop wav file click properties, click the summary tab. You need to make sure that the wav file you are trying to place on the JamMan matches these Loop properties.<br>The XML file is not needed in the loop01 loop02 loop03 ECT folder if you are placing loops created from another source onto the JamMan. The XML file is associated with the rhythm for loops created on the JamMan and is not necessary for loops created from another source. <br>",,,,,,,
JamMan Looper,jamman, Does recording start when the footswitch is pressed or released?," It records on the press the first time you record into a new loop location that has nothing stored into it.  When you try to record (overdub) over an existing loop, it records on the release due to the Undo functionality.",,,,,,,
JamMan Looper,jamman,JamMan Serial #,"When filling out the warranty registration card to validate the JamMan warranty, please use the date code on the bar code sticker on the back of the JamMan box. For example NOV 06.<br>Also be sure to hold onto your sales receipt for any future warranty work. <br>",,,,,,,
JamMan Looper,jamman,Seamless loops ,"The Loop must be at least 3.5 seconds long, if the loop is shorter than 3.5 seconds longs there will be a delay in playback while the audio data is stored to memory. <br><br>If a tempo is not tapped into a loop location; recording will begin instantaneously upon pressing the Record button. <br><br>Keep an eye on the Record LED located below the display, when this LED lights up the JamMan is recording, it is possible silence is being recorded. <br><br>",,,,,,,
JamMan Solo,jamman-solo,How do I restore the original 10 loops that shipped with the JamMan Solo?,Performing a factory reset on the JamMan Solo will restore factory loops.,,,,,,,
JamMan Solo,jamman-solo,How do I Factory Reset the JamMan Solo? <br><br>WARNING: The Factory Restore procedure will erase all loops from the JamMan Solo internal memory and restore it to its factory state. This procedure is permanent and cannot be reversed. Use the Factory Restore procedure with caution.,"1. Press and hold the STORE button while powering up the JamMan Solo.<br>2. When the display shows Fr, release the STORE button which will now be flashing.<br>3. Press the STORE button again. This display will now show r? Asking if you are<br>sure you want to restore the internal memory to its factory state. To abort this<br>procedure at this time, press the Pedal Switch.<br>4. To confirm the restore procedure, press and hold the STORE button until bU<br>appears in the display. The JamMan Solo will return to normal operation shortly as<br>indicated by loop memory 1 being shown in the display.<br>",,,,,,,
Jimi Hendrix Experience,jimi-hendrix-experience,How do I use the WAH? ,"WAH is only available when using Modal 5, Heel Mode 2 (Yellow LED) or Model 6, Toe Mode (Green LED) and Heel Mode 2 (Yellow LED). ",,,,,,,
Jimi Hendrix Experience,jimi-hendrix-experience,Calibrating the Expression Pedal,"1. Select Model 1 using the MODEL knob.<br>2. Press and hold the HEEL SWITCH for five seconds. The INDICATOR LED flashes green.<br>3. While the INDICATOR LED is flashing green, rock the<br>EXPRESSION PEDAL all the way forward (toe down).<br>4. Select Model 2 using the MODEL knob. The INDICATOR LED flashes yellow.<br>5. While the INDICATOR LED is flashing yellow, rock the EXPRESSION PEDAL all the way back (toe up).<br>6. Select Model 3 using the MODEL knob. The INDICATOR LED should flash green three times and then turn off, indicating the EXPRESSION PEDAL has been successfully calibrated.<br><br>Note: If the calibration procedure fails, the INDICATOR LED will flash red instead of green during step 6 and the unit will not return to normal operation until the EXPRESSION PEDAL has been properly calibrated. Select Model 1 using the MODEL knob at this time and repeat steps 3-6 until expression pedal calibration is successful. <br>",,,,,,,
Jimi Hendrix Experience,jimi-hendrix-experience,Switching the Jimi Hendrix Experience,"Place the Jimi Hendrix Experience pedal on a hard floor. Using your foot apply firm pressure to the TOE of the Pedal, the LED will light Green. <br>To activate heel mode, apply firm pressure to the HEEL of the pedal. ",,,,,,,
RP100,rp100a,What expression pedal can I use with my RP100? Does DigiTech make one for it? What kind of cable do I need to use with the expression pedal?,"Any passive volume pedal will work with the RP100. DigiTech does not make one specifically for it. A standard 1/4"" instrument cable will work. Simply connect the output of your expression pedal to the Control In of the RP100. If your expression pedal has an input as well, leave it open.",,,,,,,
RP100,rp100a,Where can I get a power supply for my RP100? Will a generic power supply work?,"The power supply (PS0913B or PS750) can be ordered online from our <a href=""http://outlet.digitech.com"">Outlet Store</a>. Generic power supplies will not work with this product because most generic power supplies carry a DC output. The correct power supply has an AC output."
RP100,rp100a,I didn't receive a warranty registration card with my product. Can I register online?,"Yes. You can register your RP100 online by visiting the <a href=""http://www.digitech.com/en-US/support/warranty_registration"">RP100 warranty registration page</a>."
RP100,rp100a, My RP 100 has an erratic display after short use., Always use fresh batteries or a power supply.The RP100 battery consumption is quite high.
RP100,rp100a,"What distortions are in the RP100, 200 and 300?",The distortions are contained in the amp models and are adjustable. There are 12 amp models.
RP100,rp100a,What's the difference between the User and Factory Presets?  How can I tell the difference?,"There are 2 sections in the RP100.  Presets 1-40 are User and 41-80 are Factory.  The only locations that can be stored to are the User presets.  If you make a modification to any preset, then want to make those changes permanent, you MUST store the preset to a User location (1-40).  When you are finished making your changes, press store once.  If you are on a Factory preset, the display will change to a user location (1-40).  Choose one of the User locations with the footswitches (1-40) and press store again. "
RP100,rp100a,What types of effects does the RP100 have?,"The RP100 effect types include:  Pickup Simulator, Wah, Compressor, Amp Modeling, EQ, Cabinet Modeling, Gate, Chorus, Flange, Phaser, Tremolo, Panner, Vibrato, Rotary Speaker, Auto Yah, Pitch Shift, Detune, Whammy, Delay, and Reverb.<br>"
RP100,rp100a,Is it possible to turn the amp modeling off on the RP100?,"Yes, the amp modeling may be turned off. This is useful for using the RP100 as a simple effects pedal, such as chorus alone. To turn off amp modeling, go to amp model parameter, then turn Master Level parameter all the way counter-clockwise until the display says OF."
RP100,rp100a,"Regarding cabinet modeling and pickup type, my manual says one thing and the RP100 says another.",There are miprints in the manual. Page 16 should read SH-gives a single coil pickup....<br>HS-gives a humbucher......<br>Page 18 should read:<br>1a   2a   3a<br>1b   2b   3b<br>1c   2c   3c<br>1d   2d   3b<br>for cabinet modeling.
RP100,rp100a, How do I relocate a preset?,Dial up the desired preset.<br>Modify if desired.<br>Press Store twice.<br>Use Up/Down footswitches to go to the new location. <br>Press and release Store. <br>The preset is now relocated.
RP100,rp100a, How do you reset the RP100?," RP100 off.<br><br>Press and hold SELECT button.<br>Connect guitar cable to guitar input jack.<br>When two horizontal lines appear on the display,<br>Let go of SELECT, then press and release the STORE button<br>"
RP150,rp150,RP150 Control In ,"You need a passive volume pedal, I recommend the Ernie Ball VP JR passive volume pedal, but any passive volume pedal will work. <br><br>Connect the Guitar to the RP150 input.<br><br>Connect the output of the RP150 to your amplifier.<br><br>Connect the output of the passive volume pedal to the Control In on the RP150. Use a standard tip sleeve guitar cord between the Volume Pedal output and the RP150 Control In.  <br><br>By default the Volume pedal will control the Volume.<br><br>To control the WAH with the volume pedal:<br><br>Press the edit down button to highlight WAH<br>Press the Tone Library (Push on/off) to turn the WAH on.<br><br>Press Store twice to save the changes. <br>"
RP200,rp200a,"Hi, I have an RP200. But last time I tried to connect its dc power supply to another pedal and since that it doesn't work any more. I would like to know if there is a way I could aquire another power supply or can I replace it with a similar kind?  What is the correct power supply or adapter for the RP200?","The RP200 requires a very specific power adapter.  The adapter has an AC output rather than DC.  The RP200 will NOT work with a standard DC adapter.  The correct model # is PS0913B-120.  The retail price is $24.95.  You should be able to purchase one from your local Digitech Dealer.  Or, if you prefer, this part can be purchased directly from Digitech by calling (801)566-8800.  You may, instead, send a check or money order to the address below.  Be sure to indicate which part you're requesting in your letter.<br><br>Harman Music Group<br>ATTN: PARTS<br>8760 South Sandy Parkway<br>Sandy, UT 84070<br><br>This part can also be purchased online at our new e-commerce site.  Point your browser to the site below:<br><br>http://outlet.digitech.com<br><br>"
RP200,rp200a,My expression pedal does not seem to respond correctly.  What can I do?,The first thing to try is a pedal calibration.  Start with the unit off.<br>1) Disconnent the PS0913B power supply from the power jack on the RP200<br>2) Press and hold the UP Footswitch while reconnecting the power.<br>3) Continue to hold the UP Footswitch until the Display reads TOE DN.<br>4) Rock the Expression Pedal forward to the toe down position.<br>5) Press either footswitch and the Display now shows TOE UP.<br>6) Rock the Expression Pedal back to the toe up position.<br>7) Press either Footswitch.  The RP200 will return to the last selected Preset and the Expression Pedal is now Calibrated.<br>
RP200,rp200a,How do I reset and calibrate the pedal on the RP200?,"RP200 off.<br>Put the expression pedal in the 1/2 way position. <br>Press and hold the Select button.<br>Power up.<br>When RST  ? appears in the display, let go of Select and press/release the Store button<br>The display should say Reset.<br>When the display reads Toe DN, put the expression pedal down like stepping on the gas pedal of a car.<br>Press and release either the Up or the Down footswtch. <br>Display reads Toe Up.<br>Bring the pedal up.<br>Press/release one of the Up/Down footswitches.<br>Unit will go back to program mode."
RP200,rp200a,How do I relocate a preset?,Dial up the desired preset.<br>Modify if desired.<br>Press Store twice.<br>Use Up/Down footswitches to go to the new location. <br>Press and release Store. <br>The preset is now relocated.
RP2000,rp2000,How do I reinitialize the RP2000?,"The reinitialization procedure will return everything (including user presets) back to the original factory settings. Hold in the RHYTHM button while turning the power ON. Hold the button until the display shows all X's. Finally, press the FX Mode button. Your RP2000 will briefly read 'RESET' and will then prompt you to re-calibrate the expression pedal. When the display reads 'TOE UP' rock the pedal all the back and press the #3 footswitch. When the display reads 'TOE DN' rock the pedal all the way forward and press the #2 footswitch. Your RP2000 is now reinitialized."
RP2000,rp2000,How do I scroll DOWN through the banks or programs? The bank button only goes up.,Press and HOLD the bank button to scroll down. Press and RELEASE the bank button to scroll up.
RP2000,rp2000,How can volume discrepencies between red and green channel be alleviated?,Adjust the Amp level parameter for each channel individually.
RP2000,rp2000,I am using my RP2000 with an external amp.  It sounds noisy and not very good.  What can I do do make it sound better or less noisy?,"One problem with using an RP2000 and an external amp, are the AMP models and Cabinet emulation settings in the RP2000.  If these are on, you may have undesirable results when listening through a guitar amp or pre-amp etc.  You can turn the models off and still use the digital effects.  This is best used with an effects loop of the amp in question.  If you want to hear the RP2000 at it's best, you may want to listen to it through headphones or turn off the models."
RP2000,rp2000,I just purchased an RP2000.  I heard that there was a new upgrade chip.  Is this true?  What does the update do?,"The upgrade is not a crucial one.  If you want to upgrade to 1.4 it will be neccessary to have you send in your RP2000 as it would require a different treadle pedal.  The update is simply an E-prom however, this would cause your existing pedal to stop working.  If you decide to upgrade you will need to call us for a return authorization #.<br>Digitech Repair (801) 566-8800."
RP2000,rp2000,My RP2000 has power but there is no sound coming out.  What's going on?,"It sounds like the incorrect power supply is being used.  This happens a lot.  The correct power supply is the PS0920 which has an AC output.  Most other power supplies have a DC output.  Without the correct supply, the unit will power up, but will not produce any sound.  A replacement can be purchased at http://outlet.digitech.com"
RP250,rp250,The Unit turns on but I do not get any sound out: ,Verify the correct power supply is being used to power the unit. <br>Power supply <br>Brand: H-pro <br>Model# PS0913B<br>Output Specs: 9VAC 1300mA.<br>
RP250,rp250,The Expression pedal does not function,Perform the 'Expression Pedal Calibration' procedure located in the RP owner's manual. 
RP255,rp255,The Unit turns on but I do not get any sound out.,Verify the correct power supply is being used to power the unit. <br>Power supply <br>Brand: H-pro <br>Model# PS0913B<br>Output Specs: 9VAC 1300mA.<br>
RP255,rp255,The Expression pedal does not function.,Perform the 'Expression Pedal Calibration' procedure located in the RP owner's manual. 
RP300,rp300a,The Expression pedal does not seem to respond correctly on my RP300.  Is there something wrong?,The first thing to try is a pedal calibration.  Start with the unit off.<br>1) Disconnent the PS0913B power supply from the power jack on the RP200<br>2) Press and hold the UP Footswitch while reconnecting the power.<br>3) Continue to hold the UP Footswitch until the Display reads TOE DN.<br>4) Rock the Expression Pedal forward to the toe down position.<br>5) Press either footswitch and the Display now shows TOE UP.<br>6) Rock the Expression Pedal back to the toe up position.<br>7) Press either Footswitch.  The RP300 will return to the last selected Preset and the Expression Pedal is now Calibrated.<br>
RP300,rp300a,"Can I have two clean sounds in the same patch with one on channel A being totally clean and the other on channel B having tremolo? Also, can I have ""Clean"" on channel A and ""Boogie"" on channel B?<br>",You cannot have two different sets of effects on the different channels.  Nor can you have two different amp models on the different channels.  The channel switch is used for jumping from one amp gain setting to another within the same patch.  This is usually used to change from clean to dirty or vice versa.  The best way to achieve what you're trying to do is by using two or more separate patches.
RP300,rp300a, What is the reset and pedal calibration for the RP300?,"  RP300 off.<br>Put the expression pedal in the 1/2 way position. <br>Press and hold the Select button.<br>Power up.<br>When RST ? appears in the display, let go of Select and press/release the Store button<br>The display should say Reset.<br>When the display reads Toe DN, put the expression pedal down like stepping on the gas pedal of a car.<br>Press and release either the Up or the Down footswtch. <br>Display reads Toe Up.<br>Bring the pedal up.<br>Press/release one of the Up/Down footswitches.<br>V-Switch appears in display.<br>Put toe down on pedal and put pressure on toe until display reads DONE.<br>Press Up or Down footswitch.<br>Unit will go back to program mode. "
RP300,rp300a,How do I relocate a preset?,Dial up the desired preset.<br>Modify if desired.<br>Press Store twice.<br>Use Up/Down footswitches to go to the new location. <br>Press and release Store. <br>The preset is now relocated.
RP350,rp350,The Unit turns on but I do not get any sound out.,Verify the correct power supply is being used to power the unit. <br>Power supply <br>Brand: H-pro <br>Model# PS0913B<br>Output Specs: 9VAC 1300mA.<br>
RP350,rp350,The Expression pedal does not function.,Perform the 'Expression Pedal Calibration' procedure located in the RP owner's manual. 
RP355,rp355,The Unit turns on but I do not get any sound out.,Verify the correct power supply is being used to power the unit. <br>Power supply <br>Brand: H-pro <br>Model# PS0913B<br>Output Specs: 9VAC 1300mA.<br>
RP355,rp355,The Expression pedal does not function.,Perform the 'Expression Pedal Calibration' procedure located in the RP owner's manual. ,,,,,,,
RP355,rp355,How do I switch between Stomp Box and Preset mode? ,"To switch between Stompbox and Preset modes, quickly press and release the Up Footswitch and Amp A/B Footswitch simultaneously. The RP355 will briefly display 'Stomp' for Stomp Box Mode or 'PRESTS' for preset mode. ",,,,,,,
RP50,rp50,How do I change the tempo on the drum patterns?,Press the DRUMS button. Then press the EDIT/EFFECT buttons until the small red LED light is on TEMPO at the right side of the RP50. Now use the VALUE buttons to increase or decrease the tempo.,,,,,,,
RP50,rp50,How do I adjust the Tempo of the drum machine?,Press the Drums button. Press the Edit/Effect button until the red LED light<br>is on the Tempo category. Use the Value/Master Volume buttons to adjust the<br>tempo.,,,,,,,
RP50,rp50,Can the tuning reference be changed for a 1/2 step below?," When the Tuner is enabled, you can change your tuning reference.The default factory<br><br>setting is A=440 Hz. (displayed as 40). Press the Value Buttons to select alternate dropped<br><br>tunings. Alternate tunings are A = Ab (displayed as Ab),A = G (displayed as G), and A = Gb<br><br>(displayed as Gb).The display window briefly flashes the selected tuning preference. Exit<br><br>tuner mode by pressing either Footswitch. The tuning reference is retained when the unit is<br><br>turned off.<br>",,,,,,,
RP50,rp50,What is the reset for the RP50?,"Power up while holding the Left Edit /Effect button. When two horizontal lines appear in the display, let go of the arrow button. Then press and release the STORE button. ",,,,,,,
RP50,rp50,How do I change the tempo of the drums?,"Try the reset described in the owner's manual, <br>then press the DRUMS button, then use the EDIT/EFFECT buttons to get to<br>the PATTERN category on the right side of the pedal, then use the<br>VALUE/MASTER VOLUME buttons to change the pattern.<br>",,,,,,,
RP500,rp500,Garage Band Setup for RP500,"Garage Band Setup:<br><br>Connect the RP500 via USB and launch Garage band. <br><br>Select Garage Band>Preferences>Audio/Midi tab>select the RP500 as the audio input and audio output.<br><br>Close the Preferences dialog window. <br><br>Select Track>New Track>Real Instrument> click create<br><br>On the RP500 press the edit down button one time to highlight WAH<br><br>Use knob # 5 (USB record Level) turn the level up to 15<br><br>Make sure the guitar is connected to the RP500 input and you have headphones or an amplifier connected to the RP500 output. <br><br>When you play the guitar you should see the meter moving on the real instrument track. <br><br>Click the record button on the transport bar in Garage Band and play your guitar. <br><br>You should see the wave file being recorded. <br><br>Click stop>rewind>play, you will hear playback out of the RP500.<br>When using this setup all audio Input and Output within Garage Band will pass through the RP500, headphone or an amplifier must be connected to the RP500 to hear playback from Garage band.<br>",,,,,,,
RP500,rp500,The RP500 Volume Pedal is not functioning,"Perform the Expression Pedal Calibration Procedure: <br>1. Press and hold the Bypass Footswitch until PEDALCAL appears in the display (BYPASS,<br>TUNER , and EXIT will be displayed before PEDALCAL is accessed, after about 5 seconds.)<br>2. When the Display prompts you with TOE DowN, rock the Expression Pedal forward (toe<br>down) and press Footswitch 5 (Reverb).<br>3. When the Display prompts you with TOE UP, rock the Expression Pedal back (toe up) and<br>press Footswitch 5 (Reverb).<br>4. The Display now prompts you to calibrate the V-Switch sensitivity (VSWitchxxx), where<br>XXX is the current V-Switch threshold. Rock the Expression Pedal forward and press firmly<br>on the toe once to turn the V-Switch on (WAH ON), and again to turn the V-Switch off (WAH<br>OFF).<br>5. If the V-Switch is too sensitive, press the Up Footswitch to raise the threshold (range is<br>0-199). The Down Footswitch decreases sensitivity. Keep testing the V-Switch sensitivity and<br>adjust the threshold until it only engages when you want it to (too sensitive a setting will lead<br>to the V-Switch falsely triggering on or off when using the Expression Pedal).<br>6. When the V-Switch sensitivity is set to your satisfaction, press Footswitch 5 (Reverb) to<br>exit.<br>Note: If the Display shows error, an error has occurred and steps 2 through 5<br>should be repeated.<br>",,,,,,,
RP500,rp500,RP500 Factory Reset: ,"Caution: All user presets will be set back to default. <br><br>1. Press and hold the Store button while powering up the RP500.<br>2. When the display prompts you with FACt RST, release the Store button, which is now<br>flashing.<br>3. Press and hold the flashing Store button for 3 seconds until ReSTOReD appears in the<br>display and release. The Restore procedure takes several seconds to complete; during the<br>procedure, the display will count up. After the Restore procedure is complete, the Expression Pedal calibration procedure will begin.<br>",,,,,,,
RP80,rp80, What is the reset and pedal calibration for the RP80?," Make sure the power is turned off. Press and hold the left ""EDIT"" button while connecting the power. When the display reads ""--"", release the button and press the ""STORE"" button. The display should read ""rE"" and will be reset to the factory presets. When the display reads UP, put the expression pedal toe up, then press and release one of the up or down footswitches. The display should read dn. Put the toe down on the expression pedal, then press/release one of the up or down footswitches. This completes the process.",,,,,,,
RP90,rp90,My expression pedal does not seem to respond correctly. What can I do? ,The first thing to try is a pedal calibration:<br><br>1.,Press and hold the Up/Down Footswitches until PC appears in the display (BY and TU will be displayed before PC is shown). Release the Footswitches at this time <br>2.,"When the Display prompts you with td, rock the Expression Pedal forward (toe down) and press either Footswitch.<br>3.","When the Display prompts you with hd, rock the Expression Pedal back (heel down) and press either Footswitch.<br>4.","If calibration is successful, the RP90 will return to Performance mode. If the calibration procedure fails, Er will appear in the Display followed by td. Steps 2 and 3 should be repeated until calibration is successful. <br>",,,
RP90,rp90,How do I assign WAH to my expression pedal?,1,Press the Edit up button until the PICKUP/WAH LED lights up.<br>2.,Press the Value up button to select Cb 'Dunlop Cry Baby TM wah model'.<br>3.,Press the Edit up button until the EXPRESSION LED lights up.<br>4.,Press the Value up button to select AH (Expression Pedal acts as a Wah pedal)<br>5.,Press Store twice to save changes  <br>,,
RP90,rp90,How do I reset the RP90?,ATTENTION: Performing this function will erase all user-programmed data. All such data will be lost forever! Be sure you want to erase the memory and return the RP90 to its factory default state before continuing with this procedure.<br><br>1.,Press and hold the Store button while powering up the RP90.<br>2.,"When the display prompts you with FR, release the Store button.<br>3.",Press and hold the Store button for 3 seconds until RS appears in the display and release. The Factory Reset procedure takes approximately 10 seconds.<br>4.,Once the factory reset has finished you will need to calibrate the Expression Pedal. <br>5.,"When the Display prompts you with td, rock the Expression Pedal forward (toe down) and press either Footswitch.<br>6.","When the Display prompts you with hd, rock the Expression Pedal back (heel down) and press either Footswitch.<br>7.","If calibration is successful, the RP90 will return to Performance mode. If the calibration procedure fails, Er will appear in the Display followed by td. Steps 5 and 6 should be repeated until calibration is successful. <br>"
RPx400,rpx400,"I would like to know if the included RPx400 s/w editor allows me to build ""sound files"" on my computer or in other words, create a sound I like and upload it to the computer.",The RPx400 will ship with an editor that will allow you to save presets to disk and also get them from the disk and save them to a location in your box.,,,,,,,
RPx400,rpx400,Audio playback from ProTracks has pops and clicks.,"Try the Wave Profiler under Options->Audio.  This seems to fix most problems.  Otherwise, try using MME drivers in the Options->Audio->Advanced, Driver Mode selection.  These are the safest drivers but also have the most latency.<br>Try increasing the latency slider in the audio settings.<br>",,,,,,,
RPx400,rpx400,Hands-Free recording on RPx 400 doesn't work or has stopped working.,"If it was working at one point but has stopped working, try exiting ProTracks and then restarting it (make sure to save your project).<br>Cycle power to the RPx 400 before entering ProTracks or X Edit.<br>If it has never worked at all, there is a problem with USB midi.  The most probable causes are using incorrect or incorrectly installed drivers and/or .dll or a bad USB cable.<br>See the section on driver installation.<br>"
RPx400,rpx400,I can't hear audio playback from ProTracks.,"If the 'Reamp' mode in the RPx 400 is active try switching to a different mode like 'Stereo'.<br>Make sure the faders in ProTracks are turned up.<br>Check that the tracks you want to playback are un-muted.<br>Go to Options->Audio->Drivers and under output drivers, select 'DigiTech USB 1-2 In/Out' and de-select everything else.<br>See the section on driver installation.<br>"
RPx400,rpx400,I get computer system sounds through my RPx 400.,"To disable computer sounds from going to the RPx 400, go to the 'Sounds and Audio Devices' section of the 'Control Panel' and select a default playback device other than DigiTech USB."
RPx400,rpx400,My RPx 400 doesn't record to ProTracks.,"Go to Options->Audio->Drivers and under input drivers, select 'DigiTech USB 1-2 In/Out' and 'DigiTech USB 3-4 In Only' De-select everything else.<br>Make sure the proper drivers are installed.<br>See the section on driver installation.<br>For an initial track, make sure 'Reamp' mode in the RPx 400 is not used.<br>"
RPx400,rpx400,I can't get Reamping to work.,"See the section on reamping on page 32 of the owners manual.<br>Most difficulties stem from source routing problems.  A quick and simple way to do reamping is to solo the dry track, select reamping and hit record.  You won't hear anything except the reamped track but it can be mixed with the rest of the tracks after it's recorded.<br>"
RPx400,rpx400,ProTracks intermittently locks up.,"Arrange a meeting with Bill Gates.<br>Close any other open programs besides ProTracks check ""task manager"" to make sure there are no hidden programs running. <br>Try reducing the number of plug-ins and soft-synths. <br>Increase the amount of memory in your system. <br>Get a faster hard drive. <br>Put your audio data on a different hard drive from your OS and applications. <br>Get a faster computer.<br>Please refer to the system requirements section.<br>"
RPx400,rpx400,How do I install USB drivers?,"Normally, if you follow the instructions in the installation CD, the installer will copy and activate them correctly.  If you need to reinstall them, click on the USB option that appears when the installation CD is booted.<br>If this still doesn't provide the desired results, try going to Options->Audio->Drivers and selecting only 'DigiTech USB1-2 In/Out'. Then run the Wave Profiler in Options-> Audio->General.  Finally, go back to Options->Audio->Drivers and then select 'DigiTech USB3-4 In Only'.<br>"
